,name,english,confirm,dead,heal,confirmAdd
0,美国,United States,91275149,1048843,86646220,24757
1,印度,India,43763407,525709,43081441,12808
2,巴西,Brazil,33301118,675408,31556393,10852
3,法国,France,33016578,150576,30527965,73668
4,德国,Germany,29692989,142533,27682600,0
5,英国,United Kingdom,23075360,181580,22355935,0
6,意大利,Italy,20145859,169925,18510884,67817
7,韩国,Korea(republic of),18761757,24742,18325028,40342
8,俄罗斯,Russia,18490296,381881,17908809,4664
9,土耳其,Turkey,15297539,99088,15096774,0
10,西班牙,Spain,13090476,109348,12396745,0
11,越南,Vietnam,10760595,43091,9814276,745
12,日本,Japan,10204843,31580,9501765,104832
13,阿根廷,Argentina,9426171,129145,9230687,0
14,澳大利亚,Australia,8773576,10689,8392349,37899
15,荷兰,Netherlands,8274234,22422,8095981,0
16,墨西哥,Mexico,6439616,326491,5481046,31173
17,哥伦比亚,Colombia,6223497,140365,6031815,0
18,印度尼西亚,Indonesia,6134953,156849,5950554,3540
19,波兰,Poland,6032475,116470,5335771,397
20,葡萄牙,Portugal,5273845,24369,5020499,0
21,乌克兰,Ukraine,5020181,108690,4908049,0
168,中国,China,4839118,22844,300729,25120
22,马来西亚,Malaysia,4622981,35855,4544615,3936
23,奥地利,Austria,4609834,18931,4467592,10345
24,泰国,Thailand,4559029,30999,4504734,2028
25,以色列,Israel,4498036,11101,4415338,0
26,比利时,Belgium,4349050,32051,4155889,0
27,智利,Chile,4137152,59086,3811708,6920
28,加拿大,Canada,4007463,43555,3576675,0
29,南非,South Africa,3999751,101918,3890509,0
30,捷克,Czech,3952388,40352,3898753,581
31,瑞士,Switzerland,3843522,14021,3679326,0
32,希腊,Greece,3843142,30476,3614441,0
33,秘鲁,Peru,3740861,213801,3426292,0
34,菲律宾,Philippines,3733101,60641,3652587,2560
35,丹麦,Denmark,3039859,6551,3009498,0
36,罗马尼亚,Rumania,2963934,65813,2853649,2165
37,瑞典,Sweden,2528166,19170,2494092,0
38,伊拉克,Iraq,2405186,25270,2345619,2875
39,匈牙利,HunGary,1940824,46696,1878221,0
40,斯洛伐克,Slovak,1806090,20172,1777234,471
41,约旦,Jordan,1700526,14068,1685354,0
42,格鲁吉亚,Georgia,1667453,16847,1637293,0
43,爱尔兰,Ireland,1628745,7537,1571250,0
44,新加坡,Singapore,1596046,1453,1495141,6947
45,巴基斯坦,Pskistan,1546252,30440,1504817,605
46,新西兰,New Zealand,1500754,1763,1428229,6482
47,挪威,Norway,1452755,3504,1444381,87
48,哈萨克斯坦,Kazakhstan,1316567,13664,1294798,1546
49,摩洛哥,Morocco,1251297,16184,1220252,787
50,保加利亚,Bulgaria,1184846,37294,1135430,417
51,芬兰,Finland,1171034,5012,1120330,0
52,克罗地亚,Croatian,1168111,16156,1142194,979
53,黎巴嫩,Lebanon,1140794,10489,1087587,2336
54,古巴,Cuba,1106798,8529,1097915,68
55,突尼斯,Tunisia,1087030,28823,0,0
56,立陶宛,Lithuania,1074583,9190,1038300,78
57,斯洛文尼亚,Slovenia,1060248,6667,1034542,566
58,白俄罗斯,Belarus,994037,7118,985592,0
59,危地马拉,Guatemala,984477,18822,891574,1669
60,尼泊尔,Nepal,981408,11953,968016,114
61,玻利维亚,Bolivia,968212,21979,902599,2954
62,乌拉圭,Uruguay,965370,7373,955371,0
63,巴拿马,Panama,934117,8386,912594,0
64,蒙古,Mongolia,930677,2179,0,0
65,厄瓜多尔,Ecuador,927700,35769,875413,0
66,哥斯达黎加,Costa Rica,904934,8525,860711,0
67,拉脱维亚,Latvia,844980,5875,830399,0
68,沙特阿拉伯,Saudi Arabia,803764,9232,787966,606
69,阿塞拜疆,Azerbaijan,794092,9722,783453,0
70,巴拉圭,Paraguay,688820,19083,647415,0
71,斯里兰卡,Sri Lanka,664448,16528,647454,34
72,巴林,Bahrain,649401,1506,636754,1466
73,科威特,Kuwait,648216,2556,641752,0
74,缅甸,Myanmar,613816,19434,592736,7
75,爱沙尼亚,Estonia,585143,2608,523576,0
76,塞浦路斯,Cyprus,545896,1086,124370,0
77,委内瑞拉,Venezuela,529730,5747,520927,0
78,摩尔多瓦,Moldova,520321,11567,504142,0
79,埃及,Egypt,515645,24613,442182,0
80,利比亚,Libya,502289,6430,490973,0
81,埃塞俄比亚,Ethiopia,491086,7561,468107,55
82,洪都拉斯,Honduras,430672,10912,132498,0
83,亚美尼亚,Armenia,423771,8629,412661,0
84,卡塔尔,Qatar,395051,680,387502,1217
85,阿曼,Oman,391641,4260,384669,0
86,肯尼亚,Kenya,336740,5668,329673,50
87,赞比亚,Zambia,327994,4009,322419,0
88,博茨瓦纳,Botswana,324841,2760,321024,0
89,阿尔巴尼亚,Albania,293917,3517,281470,0
90,卢森堡,Luxembourg,274524,1102,259768,0
91,阿尔及利亚,Algeria,266445,6875,178785,21
92,尼日利亚,Nigeria,259007,3144,250485,0
93,津巴布韦,Zimbabwe,256083,5566,249862,0
94,乌兹别克斯坦,Uzbekistan,242140,1637,239082,0
95,莫桑比克,Mozambique,229038,2215,226374,18
96,老挝,Laos,210528,757,0,18
97,吉尔吉斯斯坦,Kyrgyzstan,201329,2991,196406,0
98,冰岛,Iceland,199611,179,0,0
99,阿富汗,Afghanistan,183572,7731,165639,122
100,马尔代夫,Maldive,183491,307,163687,0
101,萨尔瓦多,El Salvador,180970,4174,165895,0
102,纳米比亚,Namibia,169253,4065,164813,0
103,特立尼达和多巴哥,Trinidad and Tobago,169180,4038,159041,43
104,乌干达,Uganda,168763,3627,100420,39
105,加纳,Ghana,167215,1456,165153,0
106,牙买加,Jamaica,144767,3171,92326,150
107,卢旺达,Rwanda,131880,1464,45522,23
108,喀麦隆,Cameroon,120068,1931,117791,0
109,马耳他,Malta,110967,772,103488,224
110,安哥拉,Angola,101901,1909,97149,0
111,法属圭亚那,French Guiana,89779,402,11254,0
112,巴巴多斯,Barbados,87584,479,85101,121
113,马拉维,Malawi,86931,2653,83539,31
114,塞内加尔,Senegal,86791,1968,84603,47
115,科特迪瓦,Ivory Coast,84583,806,83482,82
116,苏里南,Suriname,80919,1377,49590,0
117,斯威士兰,Swaziland,73242,1417,71768,0
118,圭亚那,Guyana,68913,1266,66663,46
119,斐济,Fiji,66713,869,64320,0
120,马达加斯加,Madagascar,66289,1406,64277,191
121,伯利兹,Belize,65994,680,64551,0
122,苏丹,S.Sudan,62795,4955,0,0
123,佛得角,Cape Verde,61922,409,61174,9
124,毛里塔尼亚,Mauritania,61921,986,59383,56
125,不丹,Bhutan,59940,21,59845,0
126,叙利亚,Syria,55973,3150,52780,0
127,加蓬,Gabon,48289,306,47477,0
128,塞舌尔,Seychelles,45185,167,44755,0
129,巴布亚新几内亚,Papua New Guinea,44761,662,43982,0
130,安道尔,Andorra,44671,153,43802,0
131,布隆迪,Burundi,43222,38,0,0
132,毛里求斯,Mauritius,39012,1008,37157,0
133,马约特岛,Mayotte I.,37958,187,2964,0
134,多哥,Togo,37798,275,37243,22
135,坦桑尼亚,Tanzania,37510,841,0,0
136,几内亚,Guinea,37358,443,36419,0
137,莱索托,Lesotho,34040,702,24155,0
138,海地,Haiti,32103,837,29895,0
139,马里,Mali,31200,737,30368,2
140,圣卢西亚,St.Lucia,27464,385,26913,0
141,贝宁,Benin,27216,163,25506,0
142,索马里,Somali,26900,1350,13182,0
143,所罗门群岛,Solomon Is.,21544,153,16357,0
144,布基纳法索,Burkinafaso,20853,382,20439,0
145,圣马力诺,San.Marino,19200,116,18549,0
146,格林纳达,Grenada,18655,233,18266,0
147,尼加拉瓜,Nicaragua,18491,225,4225,0
148,塔吉克斯坦,Tajikistan,17786,125,17264,0
149,赤道几内亚,Equatorial Guinea,16584,183,15862,0
150,吉布提,Djibouti,15690,189,15427,0
151,摩纳哥,Monaco,13739,57,13372,0
152,汤加,Tonga,12439,12,12283,57
153,冈比亚,Gambia,12009,365,11591,0
154,也门,Yemen,11848,2149,9108,0
155,瓦努阿图,Vanuatu,11722,14,11630,0
156,厄立特里亚,Eritrea,9878,103,9709,14
157,尼日尔,Niger,9096,311,8628,0
158,安提瓜和巴布达,Antigua and Barbuda,8712,144,8543,0
159,几内亚比绍,Guinea-bissau,8400,171,8151,0
160,科摩罗,Comoro,8209,160,7933,0
161,利比里亚,Liberia,7504,294,5747,0
162,乍得,Chad,7427,193,4874,0
163,瑙鲁,Nauru,6960,1,3391,0
164,基里巴斯,Kiribati,3236,13,2665,0
165,马绍尔群岛,Marshall Is.,49,0,18,0
166,西撒哈拉,Western sahara,10,1,9,0
167,图瓦卢,Tuvalu,3,0,0,0
